"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"API WBTechSchool","Тестирование API получение информации об оценках","","0","0","2","0","0"
"API WBTechSchool","Тестирование API получение информации о курсах","","0","0","10","0","0"
"API WBTechSchool","Тестирование API редактирование профиля","","0","0","3","0","0"
"API WBTechSchool","Тестирование API отправка задания на проверку","","0","0","1","0","0"
"API WBTechSchool","Тестирование API получение информации о материалах курса","","0","0","1","0","0"
"API WBTechSchool","Тестирование API создание записи на курс","","0","0","1","0","0"
"API WBTechSchool","Тестирование API заявки на удаление профиля","","0","0","2","0","0"
"API WBTechSchool","Тестирование API получение информации о задачах","","0","0","1","0","0"
